gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,at,ni,optgr,revt,cik,costat,mkvalt,gind,gsector,sic
001440,20161231,2016,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,63467.7000,610.9000,0.0000,16380.1000,0000004904,A,30958.1875,551010,55,4911
001440,20171231,2017,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,64729.1000,1912.6000,0.0000,15424.9000,0000004904,A,36196.8814,551010,55,4911
001440,20181231,2018,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,68802.8000,1923.8000,0.0000,16195.7000,0000004904,A,36865.2060,551010,55,4911
001440,20191231,2019,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,75892.3000,1921.1000,0.0000,15561.4000,0000004904,A,46703.9122,551010,55,4911
001440,20201231,2020,INDL,C,D,STD,AEP,025537101,AMERICAN ELECTRIC POWER CO,USD,12,80757.2000,2200.1000,0.0000,14918.5000,0000004904,A,41352.2151,551010,55,4911
001602,20101231,2010,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,43486.0000,4627.0000,6.7000,15053.0000,0000318154,A,51166.8000,352010,35,2836
001602,20111231,2011,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,48871.0000,3683.0000,2.3000,15582.0000,0000318154,A,51085.4760,352010,35,2836
001602,20121231,2012,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,54298.0000,4345.0000,0.1000,17265.0000,0000318154,A,65193.0600,352010,35,2836
001602,20131231,2013,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,66125.0000,5081.0000,0.1000,18676.0000,0000318154,A,86084.7680,352010,35,2836
001602,20141231,2014,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,69009.0000,5158.0000,0.0000,20063.0000,0000318154,A,121124.1160,352010,35,2836
001602,20151231,2015,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,71576.0000,6939.0000,0.0000,21662.0000,0000318154,A,122396.8200,352010,35,2836
001602,20161231,2016,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,77626.0000,7722.0000,1.4000,22991.0000,0000318154,A,107932.2220,352010,35,2836
001602,20171231,2017,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,79954.0000,1979.0000,1.5000,22849.0000,0000318154,A,125590.5800,352010,35,2836
001602,20181231,2018,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,66416.0000,8394.0000,1.2000,23747.0000,0000318154,A,122564.2320,352010,35,2836
001602,20191231,2019,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,59707.0000,7842.0000,1.4000,23362.0000,0000318154,A,142568.7980,352010,35,2836
001602,20201231,2020,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,62948.0000,7264.0000,1.0000,25424.0000,0000318154,A,132962.7360,352010,35,2836
001632,20101031,2010,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,4328.8310,712.0840,1.8660,2761.5030,0000006281,A,10055.6465,453010,45,3674
001632,20111031,2011,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,5277.6350,867.3940,1.9900,2993.3200,0000006281,A,10896.4338,453010,45,3674
001632,20121031,2012,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,5620.3470,651.2360,2.4560,2701.1420,0000006281,A,11790.7295,453010,45,3674
001632,20131031,2013,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,6381.7500,673.4870,2.4070,2633.6890,0000006281,A,15334.5185,453010,45,3674
001632,20141031,2014,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,6859.6900,629.3200,2.2400,2864.7730,0000006281,A,15441.9921,453010,45,3674
001632,20151031,2015,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,7062.1780,696.8780,1.9540,3435.0920,0000006281,A,18761.1073,453010,45,3674
001632,20161031,2016,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,7970.2780,861.6640,1.8140,3421.4090,0000006281,A,19753.7611,453010,45,3674
001632,20171031,2017,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,21141.2940,727.2590,1.4800,5107.5030,0000006281,A,33656.4668,453010,45,3674
001632,20181031,2018,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,20449.7790,1495.4320,0.6030,6200.9420,0000006281,A,30986.0936,453010,45,3674
001632,20191031,2019,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,21392.6410,1363.0110,0.4540,5991.0650,0000006281,A,39272.0423,453010,45,3674
001632,20201031,2020,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,21468.6030,1220.7610,0.3590,5603.0560,0000006281,A,43795.0571,453010,45,3674
001690,20100930,2010,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,75183.0000,14013.0000,0.1320,65225.0000,0000320193,A,259906.4875,452020,45,3663
001690,20110930,2011,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,116371.0000,25922.0000,0.0010,108249.0000,0000320193,A,354351.9056,452020,45,3663
001690,20120930,2012,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,176064.0000,41733.0000,0.0410,156508.0000,0000320193,A,626550.3528,452020,45,3663
001690,20130930,2013,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,207000.0000,37037.0000,0.0370,170910.0000,0000320193,A,428699.7978,452020,45,3663
001690,20140930,2014,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,231839.0000,39510.0000,,182795.0000,0000320193,A,591015.7208,452020,45,3663
001690,20150930,2015,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,290479.0000,53394.0000,,233715.0000,0000320193,A,615336.4559,452020,45,3663
001690,20160930,2016,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,321686.0000,45687.0000,,215091.0000,0000320193,A,603253.5663,452020,45,3663
001690,20170930,2017,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,375319.0000,48351.0000,,229234.0000,0000320193,A,790050.0981,452020,45,3663
001690,20180930,2018,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,365725.0000,59531.0000,,265359.0000,0000320193,A,1073390.5396,452020,45,3663
001690,20190930,2019,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,338516.0000,55256.0000,,260174.0000,0000320193,A,995151.5669,452020,45,3663
001690,20200930,2020,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,323888.0000,57411.0000,,274515.0000,0000320193,A,1966078.9230,452020,45,3663
001704,20101031,2010,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,10943.3450,937.8660,0.0000,9548.6670,0000006951,A,16400.7753,453010,45,3559
001704,20111031,2011,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,13861.0000,1926.0000,0.0000,10517.0000,0000006951,A,16089.9200,453010,45,3559
001704,20121031,2012,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,12102.0000,109.0000,5.0000,8719.0000,0000006951,A,12688.2000,453010,45,3559
001704,20131031,2013,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,12043.0000,256.0000,1.0000,7509.0000,0000006951,A,21497.4200,453010,45,3559
001704,20141031,2014,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,13174.0000,1072.0000,0.0000,9072.0000,0000006951,A,26971.8900,453010,45,3559
001704,20151031,2015,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,15308.0000,1377.0000,0.0000,9659.0000,0000006951,A,19453.2000,453010,45,3559
001704,20161031,2016,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,14588.0000,1721.0000,,10825.0000,0000006951,A,31348.2400,453010,45,3559
001704,20171031,2017,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,19419.0000,3434.0000,,14537.0000,0000006951,A,59815.8000,453010,45,3559
001704,20181031,2018,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,17773.0000,3313.0000,,17253.0000,0000006951,A,31794.9600,453010,45,3559
001704,20191031,2019,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,19024.0000,2706.0000,,14608.0000,0000006951,A,49702.1600,453010,45,3559
001704,20201031,2020,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,22353.0000,3619.0000,,17202.0000,0000006951,A,54136.2200,453010,45,3559
001878,20110131,2010,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,2787.6000,212.0000,6.7000,1951.8000,0000769397,A,9234.3600,451030,45,7370
001878,20120131,2011,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,3227.8000,285.3000,5.4000,2215.6000,0000769397,A,8132.4000,451030,45,7370
001878,20130131,2012,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4308.4000,247.4000,0.1000,2312.2000,0000769397,A,8693.5680,451030,45,7370
001878,20140131,2013,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4595.0000,228.8000,0.0000,2273.9000,0000769397,A,11618.3750,451030,45,7370
001878,20150131,2014,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4913.8000,81.8000,0.0000,2512.2000,0000769397,A,12259.1350,451030,45,7370
001878,20160131,2015,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,5515.3000,-330.5000,0.0000,2504.1000,0000769397,A,10506.4080,451030,45,7370
001878,20170131,2016,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4798.1000,-582.1000,0.0000,2031.0000,0000769397,A,17919.2020,451030,45,7370
001878,20180131,2017,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4113.6000,-566.9000,0.0000,2056.6000,0000769397,A,25239.8460,451030,45,7370
001878,20190131,2018,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,4729.2000,-80.8000,0.7000,2569.8000,0000769397,A,32295.6800,451030,45,7370
001878,20200131,2019,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,6179.3000,214.5000,0.0000,3274.3000,0000769397,A,43188.8900,451030,45,7370
001878,20210131,2020,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,7279.8000,1208.2000,,3790.4000,0000769397,A,60923.6280,451030,45,7370
001891,20100630,2010,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,26862.2000,1211.4000,1.2650,8927.7000,0000008670,A,19807.9200,451020,45,7374
001891,20110630,2011,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,34238.3000,1254.2000,1.3980,9879.5000,0000008670,A,25855.3440,451020,45,7374
001891,20120630,2012,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,30815.5000,1388.5000,1.1360,10665.2000,0000008670,A,26950.5720,451020,45,7374
001891,20130630,2013,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,32268.1000,1405.8000,1.1680,11310.1000,0000008670,A,33231.8360,451020,45,7374
001891,20140630,2014,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,32051.7000,1515.9000,1.4890,12206.5000,0000008670,A,38070.2560,451020,45,7374
001891,20150630,2015,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,33110.5000,1452.5000,1.7980,10938.5000,0000008670,A,37419.2720,451020,45,7374
001891,20160630,2016,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,43670.0000,1492.5000,1.1380,11667.8000,0000008670,A,41865.1590,451020,45,7374
001891,20170630,2017,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,37180.0000,1733.4000,1.2340,12379.8000,0000008670,A,45594.7000,451020,45,7374
001891,20180630,2018,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,37088.7000,1620.8000,1.1370,13325.8000,0000008670,A,58860.6320,451020,45,7374
001891,20190630,2019,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,41887.7000,2292.8000,0.8360,14175.2000,0000008670,A,71786.2860,451020,45,7374
001891,20200630,2020,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,39165.5000,2466.5000,1.0150,14589.8000,0000008670,A,64007.8110,451020,45,7374
002574,20101231,2010,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,28141.0000,1563.0000,0.0000,10636.0000,0000277948,A,23927.7966,203040,20,4011
002574,20111231,2011,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,29473.0000,1822.0000,0.0000,11743.0000,0000277948,A,22095.2464,203040,20,4011
002574,20121231,2012,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,30571.0000,1859.0000,0.0000,11756.0000,0000277948,A,20134.1691,203040,20,4011
002574,20131231,2013,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,31782.0000,1864.0000,0.0000,12026.0000,0000277948,A,29024.9022,203040,20,4011
002574,20141231,2014,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,33053.0000,1927.0000,0.0000,12669.0000,0000277948,A,35925.3419,203040,20,4011
002574,20151231,2015,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,35039.0000,1968.0000,2.5000,11811.0000,0000277948,A,25055.0883,203040,20,4011
002574,20161231,2016,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,35414.0000,1714.0000,2.3840,11069.0000,0000277948,A,33349.5074,203040,20,4011
002574,20171231,2017,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,35739.0000,5471.0000,10.4630,11408.0000,0000277948,A,48950.7035,203040,20,4011
002574,20181231,2018,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,36729.0000,3309.0000,1.0090,12250.0000,0000277948,A,50833.5234,203040,20,4011
002574,20191231,2019,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,38257.0000,3331.0000,1.1870,11937.0000,0000277948,A,55968.3616,203040,20,4011
002574,20201231,2020,INDL,C,D,STD,CSX,126408103,CSX CORP,USD,12,39793.0000,2765.0000,1.3390,10583.0000,0000277948,A,69199.5068,203040,20,4011
003062,20110531,2010,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4351.9400,246.9890,2.0310,3810.3840,0000723254,A,4519.6344,202010,20,7200
003062,20120531,2011,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4160.9060,297.6370,1.6390,4102.0000,0000723254,A,4668.5880,202010,20,7200
003062,20130531,2012,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4345.6320,315.4420,1.7220,4316.4710,0000723254,A,5582.7847,202010,20,7200
003062,20140531,2013,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4462.4520,374.4420,2.1110,4551.8120,0000723254,A,7270.4006,202010,20,7200
003062,20150531,2014,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4192.4600,430.6180,1.5900,4476.8860,0000723254,A,9616.5113,202010,20,7200
003062,20160531,2015,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,4104.3930,693.5200,1.7400,4905.4580,0000723254,A,9879.3924,202010,20,7200
003062,20170531,2016,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,6844.0570,480.7080,1.5000,5323.3810,0000723254,A,13267.8779,202010,20,7200
003062,20180531,2017,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,6958.2140,842.5860,1.6650,6476.6320,0000723254,A,19377.9135,202010,20,7200
003062,20190531,2018,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,7436.6620,884.9810,1.0130,6892.3030,0000723254,A,22911.4897,202010,20,7200
003062,20200531,2019,INDL,C,D,STD,CTAS,172908105,CINTAS CORP,USD,5,7669.8850,876.0370,0.5760,7085.1200,0000723254,A,25642.7834,202010,20,7200
003226,20101231,2010,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,118534.0000,3635.0000,0.0000,37937.0000,0001166691,A,60193.2116,502010,50,4841
003226,20111231,2011,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,157818.0000,4160.0000,0.0000,55842.0000,0001166691,A,64067.5432,502010,50,4841
003226,20121231,2012,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,164971.0000,6203.0000,,62570.0000,0001166691,A,97880.2338,502010,50,4841
003226,20131231,2013,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,158813.0000,6816.0000,,64657.0000,0001166691,A,134492.2412,502010,50,4841
003226,20141231,2014,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,159339.0000,8380.0000,16.0000,68775.0000,0001166691,A,147229.0808,502010,50,4841
003226,20151231,2015,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,166574.0000,8163.0000,18.0000,74510.0000,0001166691,A,137824.5191,502010,50,4841
003226,20161231,2016,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,180500.0000,8695.0000,21.0000,80403.0000,0001166691,A,164049.0591,502010,50,4841
003226,20171231,2017,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,186949.0000,22714.0000,39.0000,84526.0000,0001166691,A,186012.5454,502010,50,4841
003226,20181231,2018,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,251684.0000,11731.0000,41.0000,94507.0000,0001166691,A,154109.0061,502010,50,4841
003226,20191231,2019,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,263414.0000,13057.0000,42.0000,108942.0000,0001166691,A,204749.9390,502010,50,4841
003226,20201231,2020,INDL,C,D,STD,CMCSA,20030N101,COMCAST CORP,USD,12,273869.0000,10534.0000,61.0000,103564.0000,0001166691,A,240026.3744,502010,50,4841
005568,20110430,2010,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,4,12230.6450,989.5100,1.7330,10706.5880,0001637459,A,16459.0719,302020,30,2030
005568,20120430,2011,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,4,11983.2930,923.1590,1.6490,11649.0790,0001637459,A,17071.2481,302020,30,2030
005568,20130430,2012,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,4,12939.0070,1012.9030,1.5400,11528.8860,0001637459,A,23266.0113,302020,30,2030
005568,20131231,2013,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,38972.3480,,14.3000,,0001637459,A,,302020,30,2030
005568,20141231,2014,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,36762.7410,657.0710,8.6540,10922.2690,0001637459,A,,302020,30,2030
005568,20151231,2015,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,122973.0000,634.0000,3.4090,18338.0000,0001637459,A,88329.1120,302020,30,2030
005568,20161231,2016,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,120480.0000,3632.0000,1.4670,26487.0000,0001637459,A,106222.6843,302020,30,2030
005568,20171231,2017,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,120232.0000,10999.0000,1.5790,26232.0000,0001637459,A,94789.4400,302020,30,2030
005568,20181231,2018,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,103461.0000,-10192.0000,2.1440,26268.0000,0001637459,A,52508.8000,302020,30,2030
005568,20191231,2019,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,101450.0000,1935.0000,1.8810,24977.0000,0001637459,A,39230.7300,302020,30,2030
005568,20201231,2020,INDL,C,D,STD,KHC,500754106,KRAFT HEINZ CO,USD,12,99830.0000,356.0000,0.5240,26185.0000,0001637459,A,42389.1800,302020,30,2030
006008,20101231,2010,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,63186.0000,11464.0000,20.2000,43623.0000,0000050863,A,115896.3300,453010,45,3674
006008,20111231,2011,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,71119.0000,12942.0000,26.7000,53999.0000,0000050863,A,121250.0000,453010,45,3674
006008,20121231,2012,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,84351.0000,11005.0000,13.5000,53341.0000,0000050863,A,101945.2800,453010,45,3674
006008,20131231,2013,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,92358.0000,9620.0000,20.1000,52708.0000,0000050863,A,128918.4850,453010,45,3674
006008,20141231,2014,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,91956.0000,11704.0000,0.6000,55870.0000,0000050863,A,172304.9200,453010,45,3674
006008,20151231,2015,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,103065.0000,11420.0000,0.0000,55355.0000,0000050863,A,162776.2500,453010,45,3674
006008,20161231,2016,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,113327.0000,10316.0000,,59387.0000,0000050863,A,171557.1000,453010,45,3674
006008,20171231,2017,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,123249.0000,9601.0000,,62761.0000,0000050863,A,216351.9200,453010,45,3674
006008,20181231,2018,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,127963.0000,21053.0000,,70848.0000,0000050863,A,211935.8800,453010,45,3674
006008,20191231,2019,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,136524.0000,21048.0000,,71965.0000,0000050863,A,256756.5000,453010,45,3674
006008,20201231,2020,INDL,C,D,STD,INTC,458140100,INTEL CORP,USD,12,153091.0000,20899.0000,,77867.0000,0000050863,A,202368.8400,453010,45,3674
006304,20100630,2010,INDL,C,D,STD,KLAC,482480100,KLA CORP,USD,6,3907.0560,212.3000,0.0000,1820.7600,0000319201,A,4685.0388,453010,45,3827
